model,featureset,context_rows,information_set,fold,seed,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
R4_tso_dayahead,-,0,operational,1,0,880,893.65,1297.6829298814414,-157.34375,0.027875037773030555,0.04045801035866476,-0.004873808111613037,cap_roll,True,0.7831692598801757
R4_tso_dayahead,-,0,operational,2,0,1298,1021.4456856702619,1374.8000548700054,-554.8366718027735,0.0305556798490024,0.04119169465478958,-0.01673979514329821,cap_roll,True,0.6445417250023008
R4_tso_dayahead,-,0,operational,3,0,1115,850.2995515695068,1199.5587982362551,204.6914798206278,0.024255615004412714,0.03422500900879233,0.005838774051494021,cap_roll,True,0.7618655731747065
R4_tso_dayahead,-,0,operational,4,0,664,858.7838855421687,1137.3171166534123,358.9902108433735,0.024389852050453648,0.03230032220750514,0.010195484891409402,cap_roll,True,0.5929730779546668
R4_tso_dayahead,-,0,operational,5,0,848,1283.323408018868,1825.3078431360648,-314.6889740566038,0.036446784081914686,0.05183934592780117,-0.00893732615502442,cap_roll,True,0.6639405373914913
R4_tso_dayahead,-,0,operational,6,0,1288,943.8643245341615,1308.1043479041812,-98.16711956521739,0.026350415251146456,0.036601430731242314,-0.0027954016968633247,cap_roll,True,0.7401050488240888
R4_tso_dayahead,-,0,operational,7,0,1140,849.4958333333333,1221.2287605445347,129.57741228070176,0.022488102397855418,0.0323290275822995,0.0034286533148783125,cap_roll,True,0.75397386914619
R4_tso_dayahead,-,0,operational,8,0,681,670.7969897209986,941.1982117919281,203.7441262848752,0.01774887562586942,0.024903525591749832,0.005390944223580614,cap_roll,True,0.7185289578302918
R4_tso_dayahead,-,0,operational,9,0,821,1377.9168696711329,1945.853168774708,6.645249695493301,0.03645005773129039,0.051471577830189956,0.00017735981952511824,cap_roll,True,0.6474716701802932
R4_tso_dayahead,-,0,operational,10,0,1274,1225.4564364207222,1710.442242644826,-222.41522762951334,0.03170591998731934,0.04423173331937678,-0.005978998941611094,cap_roll,True,0.6722834654396926
R4_tso_dayahead,-,0,operational,11,0,1166,1068.8529159519726,1508.0341559608646,511.20626072041165,0.02578814676189741,0.03639146836644737,0.012380321851330586,cap_roll,True,0.7491942377505867
R4_tso_dayahead,-,0,operational,12,0,696,1351.2539511494253,1851.3909311485072,817.7877155172414,0.03204605300560387,0.04390719587773367,0.01939448055378836,cap_roll,True,0.429494847571973
