model,featureset,split,fold,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
R0_climatology,-,cv,1,880,4919.413395986884,6493.3834452010415,-1351.8431906409398,0.15344873856315305,0.2025065916817727,-0.04231505284057713,cap_roll,True,-0.19362720954923174
R0_climatology,-,cv,2,1298,3128.4827704409545,4280.498160111752,-1721.4021355732207,0.09353260059989192,0.1280608238144155,-0.05171681103075332,cap_roll,True,-0.08807714407217859
R0_climatology,-,cv,3,1115,3934.0294668149304,5019.590106284042,-1148.4909669923397,0.11221748432470399,0.14320073032886743,-0.033006430055946,cap_roll,True,-0.10171794467294193
R0_climatology,-,cv,4,664,2291.243275850557,2975.6499642100252,-15.089800845797006,0.0650723487601443,0.08450980928129741,-0.0004285571915074432,cap_roll,True,-0.08595155769341156
R0_climatology,-,cv,5,848,3945.4918136619513,5172.692514272842,1480.1146064244301,0.11205294597622328,0.14690547111581706,0.04203559732242078,cap_roll,True,-0.0331899989814306
R0_climatology,-,cv,6,1288,3858.96454066183,5177.477010945564,-931.0745711795587,0.10769324268498316,0.14476233393008595,-0.02543915659997851,cap_roll,True,-0.06218174487293959
R0_climatology,-,cv,7,1140,4084.7911973318005,5378.013946083944,-360.35391551581307,0.1081311882102459,0.142365583023561,-0.009526549673422343,cap_roll,True,-0.18298544667463457
R0_climatology,-,cv,8,681,2598.782967780229,3545.377402354291,1024.7707200635364,0.0687621983708422,0.0938085046972662,0.02711480274084925,cap_roll,True,-0.09046725242197384
R0_climatology,-,cv,9,821,3984.234654089074,5341.7440808764095,360.28404042426206,0.10539766611553647,0.1413080353176363,0.009527110913582812,cap_roll,True,-0.019358144135641853
R0_climatology,-,cv,10,1274,3900.4534040215267,5277.397345613178,-507.77057967894063,0.1008611289809429,0.13650702896500536,-0.013469244898411255,cap_roll,True,-0.042513816810695104
R0_climatology,-,cv,11,1166,4411.382889445565,5886.02045606897,-1871.97366266546,0.10636564851755662,0.14195809168613585,-0.04557945640461062,cap_roll,True,-0.03447206966477445
R0_climatology,-,cv,12,696,2474.155925880878,3347.5581152139903,259.612832726177,0.05867655881965282,0.07938998047571595,0.006156923050179514,cap_roll,True,-0.04459913136586047
R1_persistence,-,cv,1,880,3841.271144336535,5597.831064378224,-392.3200134390859,0.11980945355573386,0.1745559705181022,-0.01233343316560451,cap_roll,True,0.06804171175057994
R1_persistence,-,cv,2,1298,3470.4831357638286,5018.455268921663,-48.677405618510775,0.10372611649457811,0.14987177119875356,-0.0016183759457943255,cap_roll,True,-0.2066596660122062
R1_persistence,-,cv,3,1115,4026.125520457552,5620.664070479838,271.11719047044994,0.11476285540731998,0.16015636881190567,0.007677607491961852,cap_roll,True,-0.1267076422628055
R1_persistence,-,cv,4,664,2433.6875,3418.7304385356974,251.78162650602408,0.06911782936467759,0.09709349581428993,0.007150712446854559,cap_roll,True,-0.15346404260931124
R1_persistence,-,cv,5,848,4472.80410264197,6363.083768626734,-442.2317615197651,0.12702800525219293,0.1807105774420727,-0.012559322578512135,cap_roll,True,-0.17126830958085915
R1_persistence,-,cv,6,1288,4382.274029904017,6110.996974360972,-80.79047128290664,0.12245027447407207,0.171341001718977,-0.0024784536065012744,cap_roll,True,-0.20773080054331539
R1_persistence,-,cv,7,1140,3636.794529437797,5265.503518482422,311.765473846321,0.09626753409572772,0.1393703636353711,0.008249900722111719,cap_roll,True,-0.05319375202897425
R1_persistence,-,cv,8,681,2677.7099853157124,4038.133756741448,260.58737151248164,0.07085055869330095,0.1068465346554986,0.006894981518284654,cap_roll,True,-0.12358557319783081
R1_persistence,-,cv,9,821,4727.550764427911,6470.829664618504,-329.8535629693073,0.12505955893135784,0.17117593371418516,-0.008730006673972553,cap_roll,True,-0.20951900167264914
R1_persistence,-,cv,10,1274,4521.7367677693055,6333.180546077362,-60.35439576961757,0.11692443797534557,0.16385555353222186,-0.0019692397808868103,cap_roll,True,-0.20854627886580834
R1_persistence,-,cv,11,1166,5329.295217201145,7253.62843932724,232.86844829603467,0.1287696638779193,0.17534387268447393,0.00529084129307902,cap_roll,True,-0.2523650497918153
R1_persistence,-,cv,12,696,2875.349856321839,4147.689386399234,165.14367816091954,0.06819118924830116,0.098365724528884,0.003916512554419157,cap_roll,True,-0.21398491132581832
R2_clearsky_persistence,-,cv,1,880,4034.160845652351,5456.017521468536,-1784.6837582870212,0.1258662717851218,0.17024692939517036,-0.05580437882192545,cap_roll,True,0.020927717138523483
R2_clearsky_persistence,-,cv,2,1298,3588.485025227331,5029.572026336653,-852.2777537778557,0.10727090163842963,0.15043284863978637,-0.025763666948401917,cap_roll,True,-0.2478966215863454
R2_clearsky_persistence,-,cv,3,1115,4014.891334362602,5486.072439878622,-923.7389861621841,0.11450867485653807,0.15641993781430621,-0.02627797829327379,cap_roll,True,-0.12421217307929577
R2_clearsky_persistence,-,cv,4,664,2386.9119599900955,3269.2085708862915,-339.61205636425484,0.06778938280247712,0.09284700692264729,-0.009645136510736006,cap_roll,True,-0.13129443230599236
R2_clearsky_persistence,-,cv,5,848,4324.882828279595,5942.4076300617535,-619.6471991508001,0.12282715550386596,0.16876415388296484,-0.01759769296187803,cap_roll,True,-0.1325341566375169
R2_clearsky_persistence,-,cv,6,1288,4462.368265878795,5970.276836067862,-348.5837927428353,0.12460940853321467,0.16737600747473624,-0.010120970542418329,cap_roll,True,-0.22902640577514188
R2_clearsky_persistence,-,cv,7,1140,4046.970532783304,5556.233783985469,-776.171712847972,0.10712899220029366,0.14707470016690768,-0.020538754714379624,cap_roll,True,-0.17202114198038032
R2_clearsky_persistence,-,cv,8,681,2759.862598632105,3888.720213838882,-231.06216868722677,0.07302426629550601,0.10289314424016423,-0.006113762817538878,cap_roll,True,-0.1580573762045019
R2_clearsky_persistence,-,cv,9,821,4367.756193706267,6161.281608362588,-1387.696339162851,0.11554043569455055,0.16298416612329655,-0.036711403633092554,cap_roll,True,-0.1174543843609761
R2_clearsky_persistence,-,cv,10,1274,5131.491715881064,6902.628388128472,-1595.6738980958578,0.13273995724112414,0.17870367276326538,-0.041592984479443255,cap_roll,True,-0.3720175538871815
R2_clearsky_persistence,-,cv,11,1166,5364.497383874456,7192.726209722802,-1850.328439122411,0.12962413775282045,0.17404414830879736,-0.04477354062684164,cap_roll,True,-0.26067533953444366
R2_clearsky_persistence,-,cv,12,696,3072.3049388438376,4308.60511644438,-643.2358060671526,0.07286213434256279,0.1021819679597178,-0.015254844375327082,cap_roll,True,-0.2971401829756122
R3_combined,-,cv,1,880,4120.992975007938,5444.183879721138,-1048.6994862641657,0.12855666939856566,0.1698210781108094,-0.032842911398417066,cap_roll,True,0.0
R3_combined,-,cv,2,1298,2874.321932984008,4055.073286443888,-1154.74086633436,0.08596136874067759,0.12125469928195456,-0.03474519441999622,cap_roll,True,0.0
R3_combined,-,cv,3,1115,3571.005821939903,4649.567855305109,-670.7191896931638,0.10185681813326286,0.13259107923070051,-0.019314141219207735,cap_roll,True,0.0
R3_combined,-,cv,4,664,2109.8945524947862,2746.4952087334873,75.02242161009644,0.059921962723972336,0.07800171023935723,0.0021306708175850638,cap_roll,True,0.0
R3_combined,-,cv,5,848,3818.7580081008937,5010.968053320562,830.8288302485518,0.10845337845574442,0.1423115606078478,0.023595785676486347,cap_roll,True,0.0
R3_combined,-,cv,6,1288,3630.026551888447,4946.25076152221,-645.3580655245712,0.10138871544800052,0.1385402306316813,-0.0177237920206859,cap_roll,True,0.0
R3_combined,-,cv,7,1140,3453.0017576500077,4692.6548746102335,-137.4760287731906,0.09140534104980079,0.12421827488957167,-0.0036317968056293905,cap_roll,True,0.0
R3_combined,-,cv,8,681,2383.182953920186,3357.0099070927968,765.7816857660378,0.06305755465661023,0.0888244166697642,0.020262112241862,cap_roll,True,0.0
R3_combined,-,cv,9,821,3908.603847552918,5197.900221652824,126.48380553768136,0.10339610932809855,0.1375032996806144,0.0033420858412884554,cap_roll,True,0.0
R3_combined,-,cv,10,1274,3740.2884694652666,5069.967908284507,-357.417191349979,0.09674800214111481,0.13122209527791096,-0.009604689262286512,cap_roll,True,0.0
R3_combined,-,cv,11,1166,4259.488216905027,5686.9599217584455,-1168.748162958633,0.10282118931642582,0.13738598805957467,-0.028583744311815422,cap_roll,True,0.0
R3_combined,-,cv,12,696,2368.5219062414953,3286.3002919836636,228.3181442424552,0.056171364744416905,0.077937202891919,0.005414744834833588,cap_roll,True,0.0
