model,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
R0_climatology,11871,3718.8239094242913,5033.066690499538,-566.4853660909281,0.1018016123192537,0.13840182766807888,-0.015935087145403464,cap_roll,True,-0.08394432512694805
R1_persistence,11871,3980.6327022705386,5711.121041603187,12.940704048847854,0.10838140761467058,0.15551420830320853,-1.421831137159713e-05,cap_roll,True,-0.15400344902959784
R2_clearsky_persistence,11871,4101.950025788858,5703.361277969521,-987.8053885784321,0.11161851470050856,0.1549644010650854,-0.02693476208504741,cap_roll,True,-0.1884709174280199
R3_combined,11871,3437.1393751981577,4700.435555192377,-373.7686052702665,0.09391775016427253,0.1287103525635934,-0.010642304719230273,cap_roll,True,0.0
R4_tso_dayahead,11871,1031.0011793446213,1468.6339237760917,32.724959986521775,0.028025665776506857,0.039809763572967616,0.0003475511023162234,cap_roll,True,0.7015935142453171
