model,featureset,context_rows,information_set,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill,nmae_mean,nmae_std,nrmse_mean,nrmse_std,nmbe_mean,nmbe_std,mae_mean,mae_std,rmse_mean,rmse_std,mbe_mean,mbe_std,n_folds,nmae_sd_seed,nrmse_sd_seed,nmbe_sd_seed,mae_sd_seed,rmse_sd_seed,mbe_sd_seed
R4_tso_dayahead,-,0,operational,11871,1031.0011793446213,1468.6339237760917,32.724959986521775,0.028025665776506857,0.039809763572967616,0.0003475511023162234,cap_roll,True,0.7015935142453171,0.028008378293316358,0.0056370194854933236,0.0391541951213827,0.007988292145530979,0.0014567240547996945,0.010046507961604723,1032.9283209652126,229.09555061125528,1443.409880128894,321.81513736501233,73.76589267571805,379.5530467618172,12,,,,,,
lightgbm,S3,0,perfect_prog,35613,1442.5391479806767,2037.5873328303592,-616.2718525052369,0.03904420070562796,0.0548076457577676,-0.016441576050795242,cap_roll,True,0.584272401784164,0.03809919784872321,0.007985324993191184,0.05268689242322097,0.010134647666423047,-0.014379995199229357,0.014161165041538446,1408.855148174465,346.4740988304828,1946.5216879260104,442.20087682832167,-538.27209696629,562.3604353587392,12,0.0001743481498921438,0.00023707897123651084,0.00014769159566107226,6.088789741972167,8.41077448960698,5.396227861338424
ridge,S3,0,perfect_prog,11871,1782.7923347986948,2472.1812860312875,-511.9767651781157,0.048597690566883206,0.06747522321950995,-0.013913225873190898,cap_roll,True,0.48255052445485047,0.04786239007635474,0.008402544973124917,0.06582305076018664,0.011238272703866905,-0.013746301926156161,0.013580549551542443,1756.9880564989296,296.13779612575445,2414.6602173703673,387.7440099559326,-503.3045161422822,489.9688299914205,12,,,,,,
R3_combined,-,0,history_only,11871,3437.1393751981577,4700.435555192377,-373.7686052702665,0.09391775016427253,0.1287103525635934,-0.010642304719230273,cap_roll,True,0.0,0.09164487284472421,0.021841544187381535,0.12330096963097548,0.027978007659468344,-0.007641739168831899,0.01955670910968715,3353.1739161792398,732.7165467066103,4511.944347535739,938.2052443636068,-263.06034195777005,696.2374350559388,12,,,,,,
R0_climatology,-,0,history_only,11871,3718.8239094242913,5033.066690499538,-566.4853660909281,0.1018016123192537,0.13840182766807888,-0.015935087145403464,cap_roll,True,-0.08394432512694805,0.09935097916032305,0.025738454593443608,0.13210691535979804,0.03342882591228914,-0.011387235389014523,0.029582644672392015,3627.618858497182,818.319081243636,4824.616878936337,1066.2858202902464,-398.6013852878054,1061.7454155530465,12,,,,,,
R1_persistence,-,0,history_only,11871,3980.6327022705386,5711.121041603187,12.940704048847854,0.10838140761467058,0.15551420830320853,-1.421831137159713e-05,cap_roll,True,-0.15400344902959784,0.10524645644754392,0.023548221920826052,0.149057264021228,0.03135890856447091,-4.235631038005417e-05,0.007790982392010743,3866.256879464801,885.6637481226683,5469.893908079112,1145.2570848991256,11.586348182753136,278.42377353573085,12,,,,,,
R2_clearsky_persistence,-,0,history_only,11871,4101.950025788858,5703.361277969521,-987.8053885784321,0.11161851470050856,0.1549644010650854,-0.02693476208504741,cap_roll,True,-0.1884709174280199,0.10781597655387541,0.023489958485882062,0.14783072364098002,0.030748456885999465,-0.02584959289377138,0.015752211139573074,3962.88196859265,892.0723046657346,5430.312528765193,1161.78774238885,-946.0593258723685,572.904409958249,12,,,,,,
