model,featureset,context_rows,information_set,fold,seed,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
R1_persistence,-,0,history_only,1,0,880,3841.271144336535,5597.831064378224,-392.3200134390859,0.11980945355573386,0.1745559705181022,-0.01233343316560451,cap_roll,True,0.06804171175057994
R1_persistence,-,0,history_only,2,0,1298,3470.4831357638286,5018.455268921663,-48.677405618510775,0.10372611649457811,0.14987177119875356,-0.0016183759457943255,cap_roll,True,-0.2066596660122062
R1_persistence,-,0,history_only,3,0,1115,4026.125520457552,5620.664070479838,271.11719047044994,0.11476285540731998,0.16015636881190567,0.007677607491961852,cap_roll,True,-0.1267076422628055
R1_persistence,-,0,history_only,4,0,664,2433.6875,3418.7304385356974,251.78162650602408,0.06911782936467759,0.09709349581428993,0.007150712446854559,cap_roll,True,-0.15346404260931124
R1_persistence,-,0,history_only,5,0,848,4472.80410264197,6363.083768626734,-442.2317615197651,0.12702800525219293,0.1807105774420727,-0.012559322578512135,cap_roll,True,-0.17126830958085915
R1_persistence,-,0,history_only,6,0,1288,4382.274029904017,6110.996974360972,-80.79047128290664,0.12245027447407207,0.171341001718977,-0.0024784536065012744,cap_roll,True,-0.20773080054331539
R1_persistence,-,0,history_only,7,0,1140,3636.794529437797,5265.503518482422,311.765473846321,0.09626753409572772,0.1393703636353711,0.008249900722111719,cap_roll,True,-0.05319375202897425
R1_persistence,-,0,history_only,8,0,681,2677.7099853157124,4038.133756741448,260.58737151248164,0.07085055869330095,0.1068465346554986,0.006894981518284654,cap_roll,True,-0.12358557319783081
R1_persistence,-,0,history_only,9,0,821,4727.550764427911,6470.829664618504,-329.8535629693073,0.12505955893135784,0.17117593371418516,-0.008730006673972553,cap_roll,True,-0.20951900167264914
R1_persistence,-,0,history_only,10,0,1274,4521.7367677693055,6333.180546077362,-60.35439576961757,0.11692443797534557,0.16385555353222186,-0.0019692397808868103,cap_roll,True,-0.20854627886580834
R1_persistence,-,0,history_only,11,0,1166,5329.295217201145,7253.62843932724,232.86844829603467,0.1287696638779193,0.17534387268447393,0.00529084129307902,cap_roll,True,-0.2523650497918153
R1_persistence,-,0,history_only,12,0,696,2875.349856321839,4147.689386399234,165.14367816091954,0.06819118924830116,0.098365724528884,0.003916512554419157,cap_roll,True,-0.21398491132581832
