stratum_type,model,featureset,context_rows,stratum,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only
month,R3_combined,-,0,1,539,2147.4196383843496,3356.471414164479,-233.92434879104306,0.059376066987517705,0.09068171725662254,-0.005894537486353962,cap_roll,True
month,R3_combined,-,0,2,747,3674.2247432228664,4806.297198744452,-135.8643930707961,0.1058858156243986,0.13999109029257628,-0.005035595150027233,cap_roll,True
month,R3_combined,-,0,3,995,4481.981027604718,5629.063350045826,-505.715628071616,0.12924953733903385,0.16318366884192684,-0.017194649560155536,cap_roll,True
month,R3_combined,-,0,4,1137,4292.999270939634,5716.4464695684,526.7931201589278,0.12244993298141849,0.16309871719349847,0.015146694903273111,cap_roll,True
month,R3_combined,-,0,5,1325,3381.4548617724904,4669.170992969017,-854.8522656173832,0.09415208039713796,0.129650210110839,-0.024783741479927436,cap_roll,True
month,R3_combined,-,0,6,1350,3178.8849013849112,4302.6273726450545,-981.0994783658383,0.08713416373666323,0.11712740171009156,-0.02776673565709319,cap_roll,True
month,R3_combined,-,0,7,1385,3368.0824360470447,4789.295774324501,-652.4203677741577,0.08942066089075876,0.12674250785776078,-0.017346996098121594,cap_roll,True
month,R3_combined,-,0,8,1219,3654.107410041918,4867.31015053029,-688.9360779866203,0.0959514243389013,0.12744359847037745,-0.017604347551882317,cap_roll,True
month,R3_combined,-,0,9,1022,4177.038220237825,5464.462533538224,-340.96736285946525,0.1087086585684493,0.14189457706909214,-0.008735401349146018,cap_roll,True
month,R3_combined,-,0,10,876,3295.2245363740103,4297.767565708717,-54.82170783749731,0.08675938013062018,0.11372398280051871,-0.0025934931828358473,cap_roll,True
month,R3_combined,-,0,11,694,2158.9912008194574,2984.8425331621015,152.14884234642554,0.05657103696604291,0.07771286292332645,0.0033231461580333836,cap_roll,True
month,R3_combined,-,0,12,582,1743.1307515048034,2217.38156081802,320.0551293108152,0.0453806692282354,0.05727095357710401,0.008922485911520102,cap_roll,True
kt_bin,R3_combined,-,0,bedeckt,453,5133.091790726046,6321.680667753108,5119.733463044623,0.14020145237793943,0.1720386556924791,0.13984993721284592,cap_roll,True
kt_bin,R3_combined,-,0,teilbewölkt,5297,3248.3370413801754,4405.307330066804,2168.7643037425373,0.088125958565997,0.11982352981682715,0.05902860533484213,cap_roll,True
kt_bin,R3_combined,-,0,klar,6121,3475.0121930383334,4805.955297757171,-2980.5899181255954,0.09550451752144856,0.13233788132348448,-0.0820717763989643,cap_roll,True
hour,R3_combined,-,0,4,282,460.5197929153592,549.0746146416205,-159.1656070653702,0.01253347638123745,0.014874016645643811,-0.004385265682072549,cap_roll,True
hour,R3_combined,-,0,5,497,1231.2338887474662,1531.6780343664582,-307.62057519886827,0.0334770356290507,0.04150577935595117,-0.008425656875381516,cap_roll,True
hour,R3_combined,-,0,6,687,2320.4603830264596,2934.285888750116,-436.1855975795204,0.06313559373815981,0.07963322100799451,-0.012043067841960254,cap_roll,True
hour,R3_combined,-,0,7,869,3329.6819648213323,4248.891916084306,-471.37676156896646,0.0908363670782662,0.11571701789926213,-0.013288140973248434,cap_roll,True
hour,R3_combined,-,0,8,1080,3871.361194906195,5045.67614128636,-424.00755570181633,0.10575030148931229,0.1378694994465318,-0.012117209124985111,cap_roll,True
hour,R3_combined,-,0,9,1080,4622.551137379387,5827.040105134362,-437.4953935255961,0.12630744603932798,0.1594658622806353,-0.012624621618942684,cap_roll,True
hour,R3_combined,-,0,10,1080,4934.940987860555,6182.499824568173,-414.9704721577961,0.13483921886084044,0.16935401401000144,-0.012041861924343419,cap_roll,True
hour,R3_combined,-,0,11,1080,4893.255114081793,6140.8725024569585,-380.62914249482975,0.13377668083786265,0.16844270619737553,-0.011085300435082756,cap_roll,True
hour,R3_combined,-,0,12,1080,4554.146901635619,5779.980418288895,-363.50042016699,0.12452291825642953,0.15863370014027292,-0.01054480377699932,cap_roll,True
hour,R3_combined,-,0,13,1080,3953.2906297655654,5102.996656482343,-364.2072650925687,0.10815554037929478,0.1401571350832095,-0.010462067025091332,cap_roll,True
hour,R3_combined,-,0,14,1011,3217.483652626871,4216.169487183987,-359.95934707269527,0.08813031682266644,0.11569381795186172,-0.010227347435162697,cap_roll,True
hour,R3_combined,-,0,15,795,2554.3697412865613,3246.44925827244,-373.08251178588114,0.06989778814543197,0.08859156897932367,-0.010429519879095225,cap_roll,True
hour,R3_combined,-,0,16,620,1541.9208097666135,1944.5682029517961,-289.0666179538073,0.042005331730455765,0.052659626497052955,-0.007940444355796725,cap_roll,True
hour,R3_combined,-,0,17,429,703.8388512167254,875.1987463990563,-199.65087601271804,0.019069329268440363,0.023504904158401167,-0.005487963793576063,cap_roll,True
hour,R3_combined,-,0,18,201,275.59432270393984,330.8782649243495,-144.0944277843203,0.0074692294493146445,0.008891551267288971,-0.003955021256942324,cap_roll,True
cf_quantile,R3_combined,-,0,Q1,2374,1244.897374129713,1856.5039176171465,903.9769000178619,0.03372635973110936,0.05038331387998456,0.024508063425075683,cap_roll,True
cf_quantile,R3_combined,-,0,Q2,2374,2398.8038228254454,3441.6099032825437,1250.5333877002122,0.06535972887607588,0.09387618590296594,0.03412173638566274,cap_roll,True
cf_quantile,R3_combined,-,0,Q3,2375,3852.2749463719883,5044.533116147755,1327.7411065011897,0.10515380103136877,0.13808240259622517,0.036231957750744045,cap_roll,True
cf_quantile,R3_combined,-,0,Q4,2374,4091.288328572462,5042.174926559953,-283.1009962634348,0.11123538074560212,0.1367691026008168,-0.008317882742909184,cap_roll,True
cf_quantile,R3_combined,-,0,Q5,2374,5598.257536538032,6656.345220414125,-5068.710151228716,0.15410874747559447,0.18359457266934887,-0.13977514325990995,cap_roll,True
