model,featureset,context_rows,information_set,fold,seed,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
R3_combined,-,0,history_only,1,0,880,4120.992975007938,5444.183879721138,-1048.6994862641657,0.12855666939856566,0.1698210781108094,-0.032842911398417066,cap_roll,True,0.0
R3_combined,-,0,history_only,2,0,1298,2874.321932984008,4055.073286443888,-1154.74086633436,0.08596136874067759,0.12125469928195456,-0.03474519441999622,cap_roll,True,0.0
R3_combined,-,0,history_only,3,0,1115,3571.005821939903,4649.567855305109,-670.7191896931638,0.10185681813326286,0.13259107923070051,-0.019314141219207735,cap_roll,True,0.0
R3_combined,-,0,history_only,4,0,664,2109.8945524947862,2746.4952087334873,75.02242161009644,0.059921962723972336,0.07800171023935723,0.0021306708175850638,cap_roll,True,0.0
R3_combined,-,0,history_only,5,0,848,3818.7580081008937,5010.968053320562,830.8288302485518,0.10845337845574442,0.1423115606078478,0.023595785676486347,cap_roll,True,0.0
R3_combined,-,0,history_only,6,0,1288,3630.026551888447,4946.25076152221,-645.3580655245712,0.10138871544800052,0.1385402306316813,-0.0177237920206859,cap_roll,True,0.0
R3_combined,-,0,history_only,7,0,1140,3453.0017576500077,4692.6548746102335,-137.4760287731906,0.09140534104980079,0.12421827488957167,-0.0036317968056293905,cap_roll,True,0.0
R3_combined,-,0,history_only,8,0,681,2383.182953920186,3357.0099070927968,765.7816857660378,0.06305755465661023,0.0888244166697642,0.020262112241862,cap_roll,True,0.0
R3_combined,-,0,history_only,9,0,821,3908.603847552918,5197.900221652824,126.48380553768136,0.10339610932809855,0.1375032996806144,0.0033420858412884554,cap_roll,True,0.0
R3_combined,-,0,history_only,10,0,1274,3740.2884694652666,5069.967908284507,-357.417191349979,0.09674800214111481,0.13122209527791096,-0.009604689262286512,cap_roll,True,0.0
R3_combined,-,0,history_only,11,0,1166,4259.488216905027,5686.9599217584455,-1168.748162958633,0.10282118931642582,0.13738598805957467,-0.028583744311815422,cap_roll,True,0.0
R3_combined,-,0,history_only,12,0,696,2368.5219062414953,3286.3002919836636,228.3181442424552,0.056171364744416905,0.077937202891919,0.005414744834833588,cap_roll,True,0.0
